iter	Passed	Remaining
0	8	5815
1	14	5020
2	27	6286
3	36	6214
4	44	5929
5	51	5742
6	60	5811
7	69	5787
8	79	5892
9	86	5798
10	95	5754
11	102	5698
12	111	5684
13	118	5615
14	127	5646
15	135	5614
16	146	5674
17	154	5653
18	162	5633
19	170	5592
20	179	5607
21	187	5592
22	197	5609
23	204	5558
24	213	5579
25	223	5602
26	232	5595
27	240	5577
28	249	5581
29	258	5569
30	267	5572
31	275	5559
32	284	5555
33	293	5541
34	301	5538
35	310	5525
36	319	5518
37	329	5546
38	340	5577
39	348	5551
40	357	5551
41	366	5543
42	377	5561
43	385	5542
44	395	5547
45	402	5523
46	410	5507
47	420	5512
48	432	5539
49	441	5541
50	453	5568
51	462	5557
52	470	5543
53	479	5529
54	488	5524
55	497	5515
56	505	5503
57	513	5484
58	522	5477
59	530	5457
60	539	5447
61	546	5423
62	555	5412
63	563	5395
64	572	5389
65	581	5379
66	590	5376
67	600	5374
68	608	5360
69	617	5350
70	629	5371
71	637	5356
72	645	5339
73	653	5322
74	661	5309
75	670	5303
76	679	5294
77	688	5284
78	696	5273
79	704	5257
80	714	5253
81	722	5239
82	731	5231
83	738	5216
84	747	5208
85	757	5202
86	765	5191
87	774	5184
88	783	5176
89	791	5164
90	800	5155
91	809	5148
92	818	5137
93	826	5123
94	834	5111
95	842	5100
96	850	5086
97	860	5081
98	868	5071
99	877	5062
100	886	5053
101	893	5036
102	901	5025
103	909	5012
104	918	5002
105	926	4990
106	935	4982
107	944	4977
108	953	4966
109	960	4951
110	969	4941
111	976	4927
112	984	4915
113	993	4904
114	1001	4895
115	1010	4885
116	1019	4880
117	1027	4868
118	1036	4859
119	1045	4850
120	1053	4840
121	1061	4827
122	1069	4818
123	1076	4800
124	1085	4792
125	1093	4783
126	1102	4773
127	1109	4760
128	1118	4752
129	1126	4741
130	1135	4733
131	1143	4720
132	1152	4715
133	1160	4703
134	1169	4695
135	1177	4683
136	1187	4682
137	1194	4666
138	1202	4655
139	1210	4643
140	1219	4635
141	1226	4622
142	1236	4616
143	1245	4608
144	1253	4598
145	1261	4586
146	1268	4575
147	1277	4567
